trial,total_students,total_companies,companies_ranked,avg_company_ranking,company_popularity_std,company_ranking_skewness,company_ranking_kurtosis,company_entropy,company_outlier_count,company_outlier_percentage,highly_ranked_outlier_count,highly_ranked_outlier_percentage,lowly_ranked_outlier_count,lowly_ranked_outlier_percentage,best_company_avg_ranking,worst_company_avg_ranking,company_ranking_range,top_company,top_company_score,second_company,second_company_score,third_company,third_company_score,most_included_company,most_included_count,company_score_range,total_rankings_given,total_unranked_assignments
269,30,30,30,2.9862037037037035,0.6471238533310827,-0.9975083870632563,1.1360163272039578,2.2711140018197136,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.0,3.0,Vertex Valley Ventures,22.475,Nebula Dynamics,21.875,Orion Synergy,19.444444444444443,Quantum Forge,3,3.0305555555555586,150,750
270,30,30,30,3.0302777777777776,0.839252542591867,-0.04089935935517481,0.003599373037367126,2.4408899517164713,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.0,4.8,3.8,Lumeon Strategies,25.0,Quantum Forge,23.25,FusionBridge Networks,22.0,FusionBridge Networks,4,3.0,150,750
271,30,30,30,3.008888888888889,0.6892443673574623,-0.048628831097967166,-0.5124113825803631,2.4929480695548336,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.7142857142857142,4.5,2.7857142857142856,Nimbus Nexus,24.8,Apexion Innovations,23.571428571428573,TitanEdge Consulting,22.785714285714285,BlueFern BioTech,4,2.014285714285716,150,750
272,30,30,30,2.9203727753727757,0.7947453108020294,0.10628513076374363,-0.2196941329354063,2.5587081964793703,0,0.0,0,0.0,0,0.0,1.25,4.666666666666667,3.416666666666667,Apexion Innovations,23.954545454545453,IronClad Systems,20.428571428571427,Vortex Venture Group,19.444444444444443,Nimbus Nexus,4,4.51010101010101,150,750
273,30,30,30,2.89265873015873,0.7219894149892456,-0.47409851971300027,0.13693309967181078,2.3995812306460644,2,6.666666666666667,2,6.666666666666667,0,0.0,1.0,4.0,3.0,TerraNova Solutions,21.09375,PeakVista Partners,18.666666666666668,EverVault Enterprises,18.071428571428573,StellarPath Logistics,3,3.022321428571427,150,750
274,30,30,30,3.0337037037037033,0.7926253357510719,-0.008506223257718167,-0.3558599427686242,2.3974168451037094,0,0.0,0,0.0,0,0.0,1.5,5.0,3.5,EchoSphere Analytics,19.791666666666668,Vortex Venture Group,17.88888888888889,Catalyst Core,17.1875,EverVault Enterprises,3,2.604166666666668,150,750
275,30,30,30,2.9704365079365074,0.6785636370572823,-0.1844570205034715,-0.8680611159795375,2.365596230357602,0,0.0,0,0.0,0,0.0,1.6,4.125,2.525,FusionBridge Networks,30.225,Solaris Systems,27.125,PeakVista Partners,18.857142857142858,Vortex Venture Group,4,11.367857142857144,150,750
276,30,30,30,2.9708658008658007,0.6276099583759817,0.2895516424990206,-0.5199189145782124,1.972828485717591,0,0.0,0,0.0,0,0.0,2.0,4.333333333333333,2.333333333333333,Catalyst Core,21.636363636363637,IronClad Systems,19.642857142857142,HydraFlux Labs,18.857142857142858,DeltaBloom Group,5,2.779220779220779,150,750
277,30,30,30,2.9657539682539684,0.7514817614589809,-0.06721037040096042,0.28300247969650627,2.4234408134745884,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.5,3.5,TitanEdge Consulting,24.666666666666668,StellarPath Logistics,19.791666666666668,HydraFlux Labs,18.857142857142858,PeakVista Partners,3,5.80952380952381,150,750
278,30,30,30,3.0009126984126984,0.6986894980434735,-0.5137350155494966,-0.5082385501914755,2.1950000384812944,0,0.0,0,0.0,0,0.0,1.25,4.0,2.75,TitanEdge Consulting,28.0,Cobalt Circuitry,21.214285714285715,Lumeon Strategies,20.428571428571427,TitanEdge Consulting,3,7.571428571428573,150,750
279,30,30,30,3.0547354497354493,0.7726789321227522,0.6361140428513459,0.787526287461624,2.477095495955816,2,6.666666666666667,0,0.0,2,6.666666666666667,1.5,5.0,3.5,HarborWay Holdings,19.791666666666668,LuxeLoom Enterprises,18.666666666666668,Vortex Venture Group,18.071428571428573,PrismPoint Studios,3,1.720238095238095,150,750
280,30,30,30,3.026507936507937,0.6454547704294964,0.08212865956875971,-0.048684207589201556,2.3974168451037094,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.5,2.833333333333333,EverVault Enterprises,22.785714285714285,Quantum Forge,20.428571428571427,PeakVista Partners,18.75,PrismPoint Studios,3,4.035714285714285,150,750
281,30,30,30,3.060211640211641,0.7812339185097759,-0.0016852490611900675,0.27051739676870135,2.397416845103709,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.666666666666667,3.666666666666667,Ascendify Technologies,27.22222222222222,TitanEdge Consulting,24.11111111111111,PrismPoint Studios,22.555555555555557,PrismPoint Studios,3,4.666666666666664,150,750
282,30,30,29,2.9456759715380407,0.8658588953059462,0.4511495043467226,0.46879037183998706,2.6757667704674244,4,13.793103448275861,1,3.4482758620689653,3,10.344827586206897,1.0,5.0,4.0,Cobalt Circuitry,23.333333333333332,Lumeon Strategies,21.875,IronClad Systems,21.7,ZenithWorks,4,1.6333333333333329,150,750
283,30,30,30,2.9408333333333334,0.739921010548999,-0.371410440418387,-0.05745900226613321,2.5008636133623843,0,0.0,0,0.0,0,0.0,1.0,4.25,3.25,BlueFern BioTech,22.0,PeakVista Partners,18.75,Lumeon Strategies,18.75,Catalyst Core,3,3.25,150,750
284,30,30,30,2.8347619047619053,0.7719733648509542,-0.7083329609814688,0.368346615139997,2.3764438290006864,0,0.0,0,0.0,0,0.0,1.0,4.333333333333333,3.333333333333333,TitanEdge Consulting,21.875,Cobalt Circuitry,20.428571428571427,IronClad Systems,19.53125,FusionBridge Networks,4,2.34375,150,750
285,30,30,29,3.1165547096581574,0.7561200216484638,0.43131095981772893,-0.03260271022518291,2.625944582948242,0,0.0,0,0.0,0,0.0,1.7142857142857142,5.0,3.2857142857142856,PrismPoint Studios,28.675,Vortex Venture Group,27.045454545454547,EverVault Enterprises,23.571428571428573,TerraNova Solutions,3,5.103571428571428,150,750
286,30,30,30,3.0816269841269843,0.680270199095014,-0.3050444683904388,-0.4404057240236692,2.407961031917583,0,0.0,0,0.0,0,0.0,1.4,4.2,2.8000000000000003,EchoSphere Analytics,34.0,TerraNova Solutions,25.666666666666668,Vertex Valley Ventures,20.428571428571427,Aurora Axis,5,13.571428571428573,150,750
287,30,30,30,2.9780844155844153,0.6076372007488725,0.3058324162850343,0.134011126237374,2.2477426785812735,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6,4.5,2.9,PrismPoint Studios,23.954545454545453,Ascendify Technologies,22.65625,LuxeLoom Enterprises,17.6,Nebula Dynamics,4,6.354545454545452,150,750
288,30,30,30,2.9901587301587305,0.7255276010074553,-0.07730462219600988,0.4329592622763423,2.5131060113376824,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.2,4.666666666666667,3.466666666666667,Quantum Forge,20.3125,Nebula Dynamics,19.642857142857142,PrismPoint Studios,19.2,Nimbus Nexus,3,1.1125000000000007,150,750
289,30,30,30,2.9847907647907648,0.7029831632916846,0.17396004233119472,-0.38430982091034815,2.4967651781485802,0,0.0,0,0.0,0,0.0,1.5,4.5,3.0,Apexion Innovations,23.954545454545453,Aurora Axis,20.428571428571427,BlueFern BioTech,19.642857142857142,FusionBridge Networks,5,4.311688311688311,150,750
290,30,30,30,3.050859788359788,0.7620098450691116,0.19514064891512534,-0.8814745057301447,2.368925079361264,0,0.0,0,0.0,0,0.0,2.0,4.666666666666667,2.666666666666667,TitanEdge Consulting,26.444444444444443,Vertex Valley Ventures,24.025,StellarPath Logistics,22.0,Quantum Forge,4,4.444444444444443,150,750
291,30,30,30,3.006507936507936,0.7970891234979247,-0.0410147851749704,-0.48670017353355366,2.5874302980927215,0,0.0,0,0.0,0,0.0,1.5,4.666666666666667,3.166666666666667,Nebula Dynamics,22.785714285714285,PrismPoint Studios,22.0,ZenithWorks,17.6,LuxeLoom Enterprises,3,5.185714285714283,150,750
292,30,30,30,3.0979894179894183,0.7458791280719321,0.6726878587978089,-0.09191568684373408,2.4668786130739218,1,3.3333333333333335,0,0.0,1,3.3333333333333335,2.0,5.0,3.0,Lumeon Strategies,23.25,Nebula Dynamics,20.22222222222222,Magnetar Innovations,19.0,Aurora Axis,5,4.25,150,750
293,30,30,30,3.00718253968254,0.6198054338460941,0.1465319809954733,-0.7316198904156477,2.2002119464072547,0,0.0,0,0.0,0,0.0,2.0,4.4,2.4000000000000004,HarborWay Holdings,28.0,Nebula Dynamics,18.666666666666668,Ascendify Technologies,18.208333333333332,Nimbus Nexus,4,9.791666666666668,150,750
294,30,30,30,2.9926046176046173,0.6607291465317185,0.04309574435451673,-0.6181265735613168,2.343762162622482,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.4,2.7333333333333334,DeltaBloom Group,26.272727272727273,Vertex Valley Ventures,22.0,BlueFern BioTech,22.0,Solaris Systems,4,4.272727272727273,150,750
295,30,30,30,2.9967592592592593,0.7496126353548346,-0.4352601628783719,0.37779505931810187,2.4704377979484904,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.333333333333333,3.333333333333333,EchoSphere Analytics,26.444444444444443,StellarPath Logistics,19.642857142857142,Orion Synergy,19.53125,Aurora Axis,3,6.913194444444443,150,750
296,30,30,30,2.9851322751322744,0.7359300019173483,0.12035916199864284,1.4273433953984478,2.356774146807922,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.0,5.0,4.0,Apexion Innovations,27.22222222222222,Nimbus Nexus,21.875,IronClad Systems,21.875,Solaris Systems,4,5.347222222222221,150,750
297,30,30,30,2.995820105820106,0.6561092417308477,-0.024389262827576717,0.1852182190149807,2.2646580691230396,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6,4.666666666666667,3.066666666666667,Lumeon Strategies,26.208333333333332,Magnetar Innovations,23.333333333333332,EverVault Enterprises,19.444444444444443,Nebula Dynamics,4,6.763888888888889,150,750
298,30,30,29,2.9992200328407224,0.6617890026965128,-0.1677162239945293,0.046482460794837976,2.362100291417097,0,0.0,0,0.0,0,0.0,1.5,4.5,3.0,EchoSphere Analytics,27.125,StellarPath Logistics,22.65625,Lumeon Strategies,19.0,PrismPoint Studios,3,8.125,150,750
299,30,30,30,2.974563492063493,0.7945275603493557,0.4987293757535387,1.3908636898780031,2.2057051809532724,3,10.0,1,3.3333333333333335,2,6.666666666666667,1.0,5.0,4.0,Crimson Arc Media,24.025,TitanEdge Consulting,20.3125,Orion Synergy,19.53125,Nimbus Nexus,5,4.493749999999999,150,750
300,30,30,30,3.058796296296296,0.8320898765429265,0.24782812443698118,-0.8371379436321078,2.660754662766713,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.5,2.833333333333333,Nebula Dynamics,26.444444444444443,IronClad Systems,22.65625,TerraNova Solutions,20.3125,Vertex Valley Ventures,6,6.131944444444443,150,750
301,30,30,30,3.1269444444444443,0.7241217269542572,0.39898875382131604,-0.2778170440371679,2.519368832093841,2,6.666666666666667,0,0.0,2,6.666666666666667,1.8333333333333333,4.666666666666667,2.833333333333334,TitanEdge Consulting,25.78125,Nimbus Nexus,24.025,Cobalt Circuitry,21.875,EverVault Enterprises,3,3.90625,150,750
302,30,30,30,3.0335714285714284,0.513303220838379,-0.48167750881921484,0.006469256027731962,2.089246428509158,0,0.0,0,0.0,0,0.0,1.75,4.0,2.25,Magnetar Innovations,19.53125,FusionBridge Networks,19.0,EchoSphere Analytics,18.208333333333332,Orion Synergy,3,1.3229166666666679,150,750
303,30,30,30,3.090978835978836,0.7769746010444835,0.37867735402517455,-0.5410921086579181,2.4892464285091584,0,0.0,0,0.0,0,0.0,1.6666666666666667,5.0,3.333333333333333,Vortex Venture Group,28.675,Nimbus Nexus,22.0,HydraFlux Labs,21.77777777777778,HarborWay Holdings,3,6.897222222222222,150,750
304,30,30,30,2.930132275132275,0.7892206575994322,-0.543738714971864,-0.43567069536237746,2.5647351787255053,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.0,3.0,IronClad Systems,23.4375,Apexion Innovations,22.65625,EchoSphere Analytics,20.3125,LuxeLoom Enterprises,4,3.125,150,750
305,30,30,30,3.004007936507937,0.4107439008569779,-0.15127453112478662,-0.721070800846364,1.8464393446710154,0,0.0,0,0.0,0,0.0,2.2,3.8,1.5999999999999996,Apexion Innovations,23.4375,EverVault Enterprises,23.25,Vortex Venture Group,20.3125,Catalyst Core,4,3.125,150,750
306,30,30,30,3.1302861952861956,0.744361583720256,-0.21606315633097942,-0.812352249368435,2.5879695484319565,0,0.0,0,0.0,0,0.0,1.5,4.5,3.0,Ascendify Technologies,28.59090909090909,BlueFern BioTech,27.9,Nebula Dynamics,22.555555555555557,HarborWay Holdings,3,6.035353535353533,150,750
307,30,30,29,2.9745621237000544,0.6830222764753989,0.28021289566873225,-0.3240689619767978,2.457096412181354,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.5,2.833333333333333,Quantum Forge,20.22222222222222,FusionBridge Networks,19.791666666666668,EverVault Enterprises,18.857142857142858,DeltaBloom Group,4,1.3650793650793638,150,750
308,30,30,30,3.046050986050986,0.645107078266895,0.5467511933208328,1.1933845592724337,2.381937063546704,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6666666666666667,5.0,3.333333333333333,Apexion Innovations,21.77777777777778,FusionBridge Networks,21.636363636363637,ZenithWorks,20.3125,Lumeon Strategies,6,1.4652777777777786,150,750
309,30,30,30,2.927936507936508,0.669886409560067,-0.7432438430059235,0.4500254900100966,2.3377806684863804,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.0,3.0,LuxeLoom Enterprises,23.4375,Crimson Arc Media,17.96875,Nimbus Nexus,16.8,TitanEdge Consulting,3,6.637499999999999,150,750
310,30,30,29,3.037246852764094,0.6793231937170272,-0.14660996928474548,-0.03402317621708084,2.4015915682352573,3,10.344827586206897,2,6.896551724137931,1,3.4482758620689653,1.6,4.5,2.9,TerraNova Solutions,22.555555555555557,IronClad Systems,20.15,ZenithWorks,18.071428571428573,HydraFlux Labs,3,4.484126984126984,150,750
311,30,30,30,3.0242989417989414,0.7974002416676725,-0.04033409783288757,-0.9146660105972355,2.6643193502804,0,0.0,0,0.0,0,0.0,1.4,4.666666666666667,3.266666666666667,EverVault Enterprises,33.145833333333336,LuxeLoom Enterprises,21.214285714285715,HydraFlux Labs,18.4,HarborWay Holdings,3,14.745833333333337,150,750
312,30,30,30,2.9731481481481485,0.7274927125534647,0.2319432386565605,-0.8059360558979711,2.5096856969120642,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.5,2.833333333333333,StellarPath Logistics,22.555555555555557,HarborWay Holdings,21.0,Apexion Innovations,19.53125,EverVault Enterprises,3,3.024305555555557,150,750
313,30,30,29,2.999521072796935,0.6736978968780274,0.20380289262897777,0.2637175070218811,2.457096412181354,1,3.4482758620689653,0,0.0,1,3.4482758620689653,1.5,4.666666666666667,3.166666666666667,IronClad Systems,24.88888888888889,Orion Synergy,21.875,Nebula Dynamics,18.857142857142858,LuxeLoom Enterprises,3,6.031746031746032,150,750
314,30,30,30,2.9819841269841265,0.6867583771102586,-0.6163066191749357,0.6256015496934264,2.4212764279322334,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.0,3.0,StellarPath Logistics,20.3125,Orion Synergy,19.642857142857142,HarborWay Holdings,18.666666666666668,FusionBridge Networks,3,1.6458333333333321,150,750
315,30,30,30,3.0124074074074083,0.5476855734966602,0.7709276381687584,-0.08611351633119746,2.072905595320056,2,6.666666666666667,0,0.0,2,6.666666666666667,2.2,4.333333333333333,2.133333333333333,Apexion Innovations,21.77777777777778,Vertex Valley Ventures,20.428571428571427,LuxeLoom Enterprises,20.3125,PrismPoint Studios,3,1.4652777777777786,150,750
316,30,30,30,2.9571560846560843,0.6314666009079216,-0.4305806054610705,-0.023733507663426412,2.2231543191951557,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.4,4.25,2.85,DeltaBloom Group,22.555555555555557,PrismPoint Studios,18.4,IronClad Systems,16.8,Orion Synergy,3,5.755555555555556,150,750
317,30,30,30,3.0371428571428565,0.7085674816411663,-0.09335097461926734,-0.2699470443392644,2.636452797660028,0,0.0,0,0.0,0,0.0,1.4,4.5,3.1,Orion Synergy,24.8,Vortex Venture Group,23.4375,Cobalt Circuitry,18.857142857142858,TitanEdge Consulting,5,5.942857142857143,150,750
318,30,30,29,3.0047345374931584,0.5635926382009696,-0.48295216905957594,-0.6440348287862037,2.0742204450172075,0,0.0,0,0.0,0,0.0,1.6666666666666667,3.8,2.133333333333333,TerraNova Solutions,23.4375,Magnetar Innovations,23.4375,DeltaBloom Group,20.22222222222222,Magnetar Innovations,4,3.2152777777777786,150,750
319,30,30,30,2.9629629629629624,0.6654778495003293,0.03977058804848622,-0.15231032032187652,2.371231921074726,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.5,4.5,3.0,Apexion Innovations,24.21875,FusionBridge Networks,24.11111111111111,Quantum Forge,19.53125,Ascendify Technologies,3,4.6875,150,750
320,30,30,30,2.999431216931217,0.7830935106429338,-0.2651083888080322,0.806362648680572,2.5092889027439353,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.0,5.0,4.0,PeakVista Partners,24.11111111111111,EchoSphere Analytics,18.857142857142858,ZenithWorks,18.666666666666668,Nebula Dynamics,4,5.444444444444443,150,750
321,30,30,29,3.0329526795044033,0.70075972505259,-0.26739834477460717,-0.8162262030594634,2.4562056691136678,0,0.0,0,0.0,0,0.0,1.6,4.25,2.65,DeltaBloom Group,24.21875,Vertex Valley Ventures,23.954545454545453,Apexion Innovations,20.428571428571427,Vortex Venture Group,3,3.790178571428573,150,750
322,30,30,30,3.010470177970178,0.8102976233383243,0.031027097807733117,0.8778238237706071,2.5260265301011664,3,10.0,1,3.3333333333333335,2,6.666666666666667,1.0,5.0,4.0,Apexion Innovations,22.0,StellarPath Logistics,20.863636363636363,Magnetar Innovations,18.208333333333332,FusionBridge Networks,4,3.791666666666668,150,750
323,30,30,30,2.970595238095238,0.5395071333179782,0.17227974084265466,0.5242834960088438,2.05279363084913,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.75,4.333333333333333,2.583333333333333,Vortex Venture Group,21.09375,Quantum Forge,20.925,HarborWay Holdings,18.75,Aurora Axis,4,2.34375,150,750
324,30,30,30,2.9907936507936506,0.5762126892390611,0.028837805644047816,-0.6879146876770812,2.143762162622482,0,0.0,0,0.0,0,0.0,2.0,4.0,2.0,Cobalt Circuitry,21.583333333333332,IronClad Systems,20.428571428571427,TitanEdge Consulting,18.75,HydraFlux Labs,3,2.833333333333332,150,750
325,30,30,30,2.998095238095239,0.6886104102118659,0.07971800873366813,-0.7843782795275613,2.4961399650265075,0,0.0,0,0.0,0,0.0,1.75,4.5,2.75,Catalyst Core,18.857142857142858,TitanEdge Consulting,18.208333333333332,Quantum Forge,17.96875,LuxeLoom Enterprises,4,0.8883928571428577,150,750
326,30,30,30,3.013478835978836,0.585145212601173,-0.024227460614735585,-0.5477389625023661,2.29155327022262,0,0.0,0,0.0,0,0.0,1.7142857142857142,4.0,2.2857142857142856,StellarPath Logistics,23.571428571428573,Lumeon Strategies,19.444444444444443,LuxeLoom Enterprises,18.071428571428573,Apexion Innovations,4,5.5,150,750
327,30,30,30,3.0816269841269843,0.7242159392711413,0.247400035782947,-0.5748715145139838,2.464083511770376,0,0.0,0,0.0,0,0.0,1.75,4.5,2.75,Crimson Arc Media,31.0,Nimbus Nexus,22.65625,PeakVista Partners,21.09375,Nimbus Nexus,4,9.90625,150,750
328,30,30,30,2.948928571428572,0.7810796662385585,-0.017400664090067776,0.6211478880516306,2.4908770663513966,0,0.0,0,0.0,0,0.0,1.0,5.0,4.0,Aurora Axis,19.642857142857142,BlueFern BioTech,17.416666666666668,Vertex Valley Ventures,17.1875,Vertex Valley Ventures,3,2.4553571428571423,150,750
329,30,30,30,3.003730158730159,0.44341051078922034,0.6802511033548266,0.5065083056765394,1.8873178814768274,2,6.666666666666667,0,0.0,2,6.666666666666667,2.3333333333333335,4.2,1.8666666666666667,HarborWay Holdings,23.333333333333332,Crimson Arc Media,18.857142857142858,IronClad Systems,17.416666666666668,Magnetar Innovations,3,5.916666666666664,150,750
330,30,30,30,3.0755663780663776,0.6912184145235093,0.6109663273398254,-0.07647666586853452,2.389898095464287,0,0.0,0,0.0,0,0.0,2.0,4.75,2.75,Nebula Dynamics,27.045454545454547,ZenithWorks,24.88888888888889,Solaris Systems,24.025,FusionBridge Networks,4,3.020454545454548,150,750
331,30,30,30,2.9934920634920643,0.7620704019682562,-0.04949986745696861,-0.07950200963213527,2.464083511770376,5,16.666666666666664,2,6.666666666666667,3,10.0,1.25,4.5,3.25,Ascendify Technologies,22.0,Solaris Systems,19.0,TerraNova Solutions,18.071428571428573,TerraNova Solutions,4,3.928571428571427,150,750
332,30,30,30,2.959047619047619,0.8682164757872429,0.07625558545773257,-0.04588088431481241,2.764201431025388,0,0.0,0,0.0,0,0.0,1.0,5.0,4.0,TerraNova Solutions,20.3125,Nimbus Nexus,19.791666666666668,Catalyst Core,17.1875,DeltaBloom Group,3,3.125,150,750
333,30,30,30,3.0421428571428573,0.6709404957997438,0.6880740146095017,1.06296853897648,2.346602752036061,3,10.0,1,3.3333333333333335,2,6.666666666666667,1.6,5.0,3.4,Orion Synergy,21.09375,IronClad Systems,19.642857142857142,Aurora Axis,18.857142857142858,DeltaBloom Group,4,2.2366071428571423,150,750
334,30,30,30,3.031414141414141,0.5806977958535512,-0.1610484150127716,-0.7777044617037698,2.0823937016443557,0,0.0,0,0.0,0,0.0,2.0,4.0,2.0,ZenithWorks,27.9,IronClad Systems,26.272727272727273,HydraFlux Labs,25.0,TerraNova Solutions,4,2.8999999999999986,150,750
335,30,30,30,3.0177777777777783,0.6094462169527551,-0.16294187012993672,-0.3498686818731165,2.000981532617396,0,0.0,0,0.0,0,0.0,2.0,4.4,2.4000000000000004,Catalyst Core,23.4375,Ascendify Technologies,23.25,Vortex Venture Group,20.925,StellarPath Logistics,4,2.5124999999999993,150,750
336,30,30,30,3.0001587301587302,0.6602246513430369,-0.5950382741032045,-0.07255798418673054,2.4011184861493846,0,0.0,0,0.0,0,0.0,1.25,4.0,2.75,Solaris Systems,19.642857142857142,LuxeLoom Enterprises,18.071428571428573,Vortex Venture Group,17.88888888888889,Catalyst Core,4,1.753968253968253,150,750
337,30,30,30,3.0203174603174605,0.7189699535826924,0.5617124767648621,0.3787240085831636,2.3792844184142647,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.8,5.0,3.2,Cobalt Circuitry,25.666666666666668,TitanEdge Consulting,23.333333333333332,HydraFlux Labs,20.428571428571427,Vortex Venture Group,4,5.238095238095241,150,750
338,30,30,30,3.0277380952380955,0.7364507505936065,0.6743766602670619,0.42931603656422235,2.4178561135066152,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6666666666666667,5.0,3.333333333333333,EchoSphere Analytics,22.0,TerraNova Solutions,20.583333333333332,Quantum Forge,18.857142857142858,Vortex Venture Group,3,3.1428571428571423,150,750
339,30,30,30,2.9999867724867726,0.6270867614352921,0.20528279595509977,0.18876884439415864,2.233800152527589,0,0.0,0,0.0,0,0.0,1.75,4.5,2.75,TitanEdge Consulting,21.875,Nimbus Nexus,21.09375,PrismPoint Studios,20.22222222222222,Magnetar Innovations,3,1.6527777777777786,150,750
340,30,30,30,2.928508898508899,0.8241161146195916,-0.15022517666434654,0.8269136965878503,2.477865082165957,3,10.0,2,6.666666666666667,1,3.3333333333333335,1.0,5.0,4.0,FusionBridge Networks,28.59090909090909,LuxeLoom Enterprises,28.59090909090909,TerraNova Solutions,21.214285714285715,EverVault Enterprises,4,7.376623376623375,150,750
341,30,30,30,3.000238095238096,0.569124106568373,0.13296254800845173,-0.26734180579704603,2.199723686817171,0,0.0,0,0.0,0,0.0,1.8571428571428572,4.428571428571429,2.5714285714285716,DeltaBloom Group,22.785714285714285,Orion Synergy,20.428571428571427,IronClad Systems,20.428571428571427,Magnetar Innovations,2,2.3571428571428577,150,750
342,30,30,29,3.0569786535303782,0.6499041867570763,0.14185669899057923,-0.35774727346254487,2.3409562206554697,0,0.0,0,0.0,0,0.0,1.75,4.5,2.75,DeltaBloom Group,26.979166666666668,BlueFern BioTech,19.0,IronClad Systems,18.75,Orion Synergy,3,8.229166666666668,150,750
343,30,30,30,3.077698412698413,0.862990301958765,0.09747982182956955,-0.5640602670848209,2.5587081964793703,0,0.0,0,0.0,0,0.0,1.4,5.0,3.6,HarborWay Holdings,20.428571428571427,Quantum Forge,19.642857142857142,Crimson Arc Media,18.75,DeltaBloom Group,3,1.678571428571427,150,750
344,30,30,30,3.0618121693121694,0.7679605544253736,-0.20866014107389644,0.39969038639060006,2.494205915355059,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.666666666666667,3.666666666666667,Crimson Arc Media,21.875,Aurora Axis,21.214285714285715,FusionBridge Networks,20.428571428571427,IronClad Systems,4,1.446428571428573,150,750
345,30,30,30,2.9439021164021164,0.6789760581046682,-0.278547144507377,-1.1547943463748402,2.3124807982156095,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.0,2.333333333333333,TitanEdge Consulting,21.09375,PeakVista Partners,18.857142857142858,PrismPoint Studios,17.88888888888889,Nebula Dynamics,4,3.2048611111111107,150,750
346,30,30,30,2.9986111111111113,0.7351988796272682,-0.1482381885322018,0.6748416004623663,2.4004422822781613,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.5,3.5,DeltaBloom Group,24.8,Apexion Innovations,22.785714285714285,Nebula Dynamics,21.09375,DeltaBloom Group,3,3.7062500000000007,150,750
347,30,30,30,2.955833333333333,0.7779774413708503,-0.4320115244789905,-0.26679746957561123,2.5348486136508463,0,0.0,0,0.0,0,0.0,1.0,4.0,3.0,Cobalt Circuitry,23.333333333333332,Lumeon Strategies,19.53125,Vertex Valley Ventures,18.75,Orion Synergy,5,4.583333333333332,150,750
348,30,30,30,2.895683760683761,0.7788567084125888,-0.38132931286534777,1.5967498043341433,2.1832459000960798,5,16.666666666666664,4,13.333333333333334,1,3.3333333333333335,1.0,5.0,4.0,PeakVista Partners,28.46153846153846,EchoSphere Analytics,20.3125,Lumeon Strategies,18.071428571428573,Ascendify Technologies,3,10.390109890109887,150,750
349,30,30,30,3.025013227513227,0.6138175013414889,-0.2767973310251216,-0.08143577403768187,2.2711140018197136,0,0.0,0,0.0,0,0.0,1.5,4.333333333333333,2.833333333333333,EchoSphere Analytics,27.22222222222222,Aurora Axis,24.21875,Crimson Arc Media,21.875,LuxeLoom Enterprises,5,5.347222222222221,150,750
350,30,30,30,2.9957936507936513,0.772158417566692,0.6925148625708336,0.9632340080394428,2.311941547876375,3,10.0,1,3.3333333333333335,2,6.666666666666667,1.5,5.0,3.5,TerraNova Solutions,30.225,Vertex Valley Ventures,18.071428571428573,EverVault Enterprises,18.071428571428573,Nebula Dynamics,4,12.153571428571428,150,750
351,30,30,30,3.0361640211640206,0.6600087334518326,0.7833599950159675,0.7526938420879934,2.279402337669277,1,3.3333333333333335,0,0.0,1,3.3333333333333335,2.0,5.0,3.0,PeakVista Partners,25.5,Nimbus Nexus,21.09375,IronClad Systems,21.0,Vortex Venture Group,3,4.5,150,750
352,30,30,30,2.9304761904761905,0.6865871624468756,-0.5545662298868154,0.4615946101309474,2.387430298092722,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.166666666666667,3.166666666666667,TerraNova Solutions,25.0,HydraFlux Labs,24.88888888888889,ZenithWorks,21.875,HydraFlux Labs,4,3.125,150,750
